planet name,is_berger,rocky planet name,rocky period,rocky per err,rocky rad,rocky rad err,rocky planet mass,rocky planet mass err,env planet name,env period,env per err,env rad,env rad err,env planet mass,env planet mass err,env mass flag,planet reference,star mass,star mass err,star age,star age err,star rad,star rad err,star temp,star temp err,star met,star met err,PEprob,CPMLprob,PRVprob,PE min mass,CPML min mass,PRV min mass
K2-172,1,K2-172 b,14.316941,0.001428,1.62873307,0.120561159,,,K2-172 c,29.62682,0.001581,3.133319251,0.149584465,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,0.894185598,0.049018941,4.067,4.7295,0.849379628,0.028962821,5432.605036,105.0382535,-0.028846029,0.13525809,0,0,0,6.416637682,11.36955776,4.389262286
K2-183,,K2-183 b,0.469285,6.40E-05,1.1,0.09,,,K2-183 c,10.787992,0.00033,2.3,0.15,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.8814,0.25213,5,2,0.742,0.01692,5482,50,0.09,0.08,0,0,0,0.190346543,0.842367753,0.884289897
K2-183,,K2-183 b,0.469285,6.40E-05,1.1,0.09,,,K2-183 d,22.620344,6.70E-05,2.3,0.2,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.8814,0.25213,5,2,0.742,0.01692,5482,50,0.09,0.08,0,0,0,0.137941822,0.626614942,0.766266854
K2-185,1,K2-185 b,10.616384,7.15E-05,1.09632512,0.069078381,,,K2-185 c,52.713494,0.0001595,2.291418269,0.08912332,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,0.938646692,0.043128445,3.381,3.7375,0.905497349,0.029317662,5685.661342,110.5609138,-0.086926473,0.129093845,0,0,0,0.805853439,1.814563693,1.011887013
K2-187,1,K2-187 b,0.77401,8.30E-05,1.261321656,0.089322944,,,K2-187 e,13.606629,3.60E-06,1.968426221,0.136335218,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.913125358,0.049459858,4.542,5.0975,0.876037542,0.030383635,5369.809017,97.90450923,0.121659454,0.13671352,0,0,0,0.320226328,1.32341114,1.150493381
K2-187,1,K2-187 b,0.77401,8.30E-05,1.261321656,0.089322944,,,K2-187 d,7.149584,0.00012,2.474865977,0.135335599,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.913125358,0.049459858,4.542,5.0975,0.876037542,0.030383635,5369.809017,97.90450923,0.121659454,0.13671352,0,0,0,0.487477098,2.125286331,1.329788611
K2-187,1,K2-187 c,2.871512,0.00012,1.471541932,0.115558263,,,K2-187 e,13.606629,3.60E-06,1.968426221,0.136335218,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.913125358,0.049459858,4.542,5.0975,0.876037542,0.030383635,5369.809017,97.90450923,0.121659454,0.13671352,0,0,0,1.541611407,3.599551668,2.661793625
K2-187,1,K2-187 c,2.871512,0.00012,1.471541932,0.115558263,,,K2-187 d,7.149584,0.00012,2.474865977,0.135335599,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.913125358,0.049459858,4.542,5.0975,0.876037542,0.030383635,5369.809017,97.90450923,0.121659454,0.13671352,0,0,0,2.95047828,5.673720116,3.238921727
K2-188,1,K2-188 b,1.742169,0.000411,1.249120416,0.111631469,,,K2-188 c,7.810253,0.000845,2.618348564,0.152919885,,,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,1.074317989,0.060386589,2.712,2.613,1.101138035,0.039804755,6066.090891,135.051066,-0.053980965,0.13296856,0,0,0,0.984214266,2.612732102,1.602181648
K2-189,1,K2-189 b,2.588309,0.000214,1.471862088,0.100764763,,,K2-189 c,6.679195,0.0003865,2.425332497,0.138171665,,,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,0.872551768,0.052167599,5.452,5.9215,0.848673793,0.032680943,5439.567585,115.9319158,-0.084878253,0.154075354,0,0,0,2.708860034,5.30041015,3.229481266
